Delay X Y X Y
792994.73 0 0 0.00062561 0.00028992
812994.7 0 0 0.00049591 0.00024414
832994.67 0 0 0.00049591 0.00019837
852994.64 0 0 0.00047302 9.9183E-5
872994.61 0 0 0.00052643 7.6294E-5
892994.58 0 0 0.0005188 9.1553E-5
912994.55 0 0 0.0005188 9.9183E-5
932994.52 0 0 0.0004654 0.00016785
952994.49 0 0 0.00041962 0.00016022
972994.46 0 0 0.00044251 0.00019074
992994.43 0 0 0.00052643 0.00016022
1012994.4 0 0 0.00054932 0.00015259
1032994.4 0 0 0.00047302 9.9183E-5
1052994.3 0 0 0.00050354 4.5777E-5
1072994.3 0 0 0.00054932 3.8147E-5
1092994.3 0 0 0.00063324 6.8665E-5
1112994.2 0 0 0.00063324 9.9183E-5
1132994.2 0 0 0.00066376 0.00016022
1152994.2 0 0 0.00061799 0.00015259
1172994.2 0 0 0.00061799 8.3924E-5
1192994.1 0 0 0.00061799 9.9183E-5
1212994.1 0 0 0.0006485 0.000206
1232994.1 0 0 0.0006485 0.0002594
1252994 0 0 0.00063324 0.00025177
1272994 0 0 0.00070191 0.00019074
1292994 0 0 0.00083924 0.00012207
1312993.9 0 0 0.00083161 9.1553E-5
1332993.9 0 0 0.00073243 0.00015259
1352993.9 0 0 0.00073243 0.00015259
1372993.8 0 0 0.00078583 0.00012207
1392993.8 0 0 0.00071717 0.00015259
1412993.8 0 0 0.0006485 0.00017548
1432993.8 0 0 0.00067139 0.000206
1452993.7 0 0 0.00069428 0.000206
1472993.7 0 0 0.00070191 0.0001297
1492993.7 0 0 0.00073243 7.6294E-5
1512993.6 0 0 0.0007782 9.1553E-5
1532993.6 0 0 0.00075531 0.00011444
1552993.6 0 0 0.00084687 0.00019837
1572993.5 0 0 0.00088501 0.00026703
1592993.5 0 0 0.00084687 0.000206
1612993.5 0 0 0.00078583 0.00014496
1632993.4 0 0 0.00079346 0.00013733
1652993.4 0 0 0.00076294 0.0001297
1672993.4 0 0 0.00080872 0.00011444
1692993.4 0 0 0.00090027 0.00016022
1712993.3 0 0 0.00086213 0.00025177
1732993.3 0 0 0.00087738 0.00022888
1752993.3 0 0 0.0009079 0.00024414
1772993.2 0 0 0.00090027 0.00023651
1792993.2 0 0 0.00089264 0.00019837
1812993.2 0 0 0.00094605 0.00017548
1832993.1 0 0 0.00095368 0.00016785
1852993.1 0 0 0.00103 0.00019837
1872993.1 0 0 0.00099183 0.00024414
1892993.1 0 0 0.00092316 0.00023651
1912993 0 0 0.0010224 0.00022888
1932993 0 0 0.00097657 0.00024414
1952993 0 0 0.0009842 0.00021362
1972992.9 0 0 0.0010376 0.00024414
1992992.9 0 0 0.0010224 0.00027466
2012992.9 0 0 0.0010224 0.00023651
2032992.8 0 0 0.0010376 0.00016022
2052992.8 0 0 0.0010681 0.00013733
2072992.8 0 0 0.0011139 0.00016022
2092992.7 0 0 0.0011444 0.00023651
2112992.7 0 0 0.0011749 0.0003357
2132992.7 0 0 0.0012055 0.00030518
2152992.7 0 0 0.0012589 0.00026703
2172992.6 0 0 0.0012741 0.0002594
2192992.6 0 0 0.0012131 0.00022888
2212992.6 0 0 0.001236 0.00030518
2232992.5 0 0 0.0013199 0.00031281
2252992.5 0 0 0.0013886 0.0002594
2272992.5 0 0 0.0013809 0.00016785
2292992.4 0 0 0.0014572 0.00022125
2312992.4 0 0 0.0014725 0.00028229
2332992.4 0 0 0.0013809 0.00026703
2352992.3 0 0 0.001297 0.00027466
