Delay X Y R Y
1929999.4 0 0 6.9619E-5 68.743
1939999.3 0 0 6.2466E-5 23.235
1949999.3 0 0 0.00010967 -85.383
1959999.3 0 0 8.0586E-5 -103.39
1969999.3 0 0 6.9142E-5 -64.516
1979999.3 0 0 0.00012827 -81.688
1989999.3 0 0 0.00014544 -76.751
1999999.2 0 0 0.00014687 -84.274
2009999.2 0 0 0.00015736 -69.251
2019999.2 -4.7684E-7 0 0.00021219 -58.047
2029999.2 0 -4.7684E-7 0.00014687 -83.977
2039999.2 -4.7684E-7 0 6.9619E-5 -142.56
2049999.2 -4.7684E-7 0 9.5845E-5 80.79
2059999.2 -4.7684E-7 0 0.00013924 46.055
2069999.1 -4.7684E-7 0 0.00022268 -2.125
2079999.1 0 0 0.00021172 -23.063
2089999.1 0 0 8.3447E-5 -74.665
2099999.1 0 0 4.2916E-6 -17.352
2109999.1 -4.7684E-7 0 0.00013018 41.016
2119999.1 0 0 8.3924E-5 40.953
2129999 0 0 4.2439E-5 171.67
2139999 -4.7684E-7 0 6.1989E-5 38.157
2149999 -4.7684E-7 0 0.00013876 3.2813
2159999 -4.7684E-7 0 0.00014925 -50.75
2169999 0 0 0.0002079 -86.243
2179999 -4.7684E-7 0 0.00019264 -109.73
2189999 0 0 0.00012684 -158.31
2199998.9 0 0 0.00012445 155.45
2209998.9 -4.7684E-7 0 3.5763E-5 19.719
2219998.9 -4.7684E-7 0 7.5341E-5 -27.711
2229998.9 0 0 0.00010872 33.453
2239998.9 0 0 0.00017071 32
2249998.9 -4.7684E-7 0 9.3461E-5 58.821
2259998.8 0 -4.7684E-7 3.1948E-5 88.149
2269998.8 0 -4.7684E-7 4.9115E-5 147.91
2279998.8 0 0 3.624E-5 -146.73
2289998.8 0 0 9.4891E-5 -139.99
2299998.8 0 0 9.1553E-5 -118.85
2309998.8 0 0 0.00012493 -116.63
2319998.8 -4.7684E-7 0 0.00015164 -96.251
2329998.7 0 0 0.00015736 -105.63
2339998.7 0 0 0.00015688 -88.672
2349998.7 0 0 0.00014114 -80.493
2359998.7 -4.7684E-7 0 0.00017214 -70.657
2369998.7 0 0 0.00013495 -67.985
2379998.7 0 0 0.00013161 -27.141
2389998.7 0 0 0.00013161 -19.133
2399998.6 0 0 0.00012255 25.938
2409998.6 -4.7684E-7 0 0.00012398 29.047
2419998.6 -4.7684E-7 -4.7684E-7 0.00015688 48.242
2429998.6 -4.7684E-7 0 0.0001359 41.875
2439998.6 -4.7684E-7 0 9.6322E-5 73.563
2449998.6 -4.7684E-7 -4.7684E-7 9.9659E-5 83.829
2459998.5 0 0 0.00012827 84.11
2469998.5 0 0 0.00016594 53.078
2479998.5 -4.7684E-7 0 0.00012159 33.196
2489998.5 -4.7684E-7 0 0.00011826 64.852
2499998.5 -4.7684E-7 0 0.00012589 62.266
2509998.5 0 0 0.00010109 83.055
2519998.5 -4.7684E-7 0 0.00011158 56.258
2529998.4 0 0 0.00013495 45.485
2539998.4 -4.7684E-7 0 0.00018597 22.141
2549998.4 -4.7684E-7 0 0.00013495 7.7032
2559998.4 0 0 0.0001421 -17.766
2569998.4 0 0 0.00013209 -44.594
2579998.4 0 0 0.00015164 -39.282
2589998.3 0 0 0.00017262 -47.899
2599998.3 0 0 0.000175 -46.766
2609998.3 -4.7684E-7 0 0.00014544 -50.352
2619998.3 0 0 0.00011873 -21.211
2629998.3 0 0 0.00011063 -33.742
2639998.3 0 0 0.00011158 -0.17188
2649998.3 0 0 0.00013018 -3.25
2659998.2 0 0 0.00014591 -5.336
